REF_DATE,Date,GEO,DGUID,Level of study,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,Lat,Long,TERMINATED,DECIMALS
2006,2007,Newfoundland and Labrador,2016A000210,Canadian undergraduate,Constant dollars,370,units,0,v1411954029,2.1,3417,53.135509,-57.660435,,0
2006,2007,Newfoundland and Labrador,2016A000210,Canadian graduate,Constant dollars,370,units,0,v1411954030,2.2,2720,53.135509,-57.660435,,0
2006,2007,Newfoundland and Labrador,2016A000210,International undergraduate,Constant dollars,370,units,0,v1411954031,2.3,13170,53.135509,-57.660435,,0
2006,2007,Newfoundland and Labrador,2016A000210,International graduate,Constant dollars,370,units,0,v1411954032,2.4,3534,53.135509,-57.660435,,0
2006,2007,Prince Edward Island,2016A000211,Canadian undergraduate,Constant dollars,370,units,0,v1411954033,3.1,6386,46.25,-63,,0
2006,2007,Prince Edward Island,2016A000211,Canadian graduate,Constant dollars,370,units,0,v1411954034,3.2,3495,46.25,-63,,0
2006,2007,Prince Edward Island,2016A000211,International undergraduate,Constant dollars,370,units,0,v1411954035,3.3,11642,46.25,-63,,0
2006,2007,Prince Edward Island,2016A000211,International graduate,Constant dollars,370,units,0,v1411954036,3.4,7876,46.25,-63,,0
2006,2007,Nova Scotia,2016A000212,Canadian undergraduate,Constant dollars,370,units,0,v1411954037,4.1,8335,45,-63,,0
2006,2007,Nova Scotia,2016A000212,Canadian graduate,Constant dollars,370,units,0,v1411954038,4.2,10453,45,-63,,0
2006,2007,Nova Scotia,2016A000212,International undergraduate,Constant dollars,370,units,0,v1411954039,4.3,16046,45,-63,,0
2006,2007,Nova Scotia,2016A000212,International graduate,Constant dollars,370,units,0,v1411954040,4.4,18839,45,-63,,0
2006,2007,New Brunswick,2016A000213,Canadian undergraduate,Constant dollars,370,units,0,v1411954041,5.1,7099,46.49839,-66.159668,,0
2006,2007,New Brunswick,2016A000213,Canadian graduate,Constant dollars,370,units,0,v1411954042,5.2,6451,46.49839,-66.159668,,0
2006,2007,New Brunswick,2016A000213,International undergraduate,Constant dollars,370,units,0,v1411954043,5.3,13797,46.49839,-66.159668,,0
2006,2007,New Brunswick,2016A000213,International graduate,Constant dollars,370,units,0,v1411954044,5.4,11475,46.49839,-66.159668,,0
2006,2007,Quebec,2016A000224,Canadian undergraduate,Constant dollars,370,units,0,v1411954045,6.1,2508,53,-70,,0
