REF_DATE,GEO,DGUID,Level of study,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2006/2007,Canada,2016A000011124,Canadian undergraduate,Constant dollars,370,units,0,v1411954025,1.1,5711,,,,0
2006/2007,Canada,2016A000011124,Canadian graduate,Constant dollars,370,units,0,v1411954026,1.2,6992,,,,0
2006/2007,Canada,2016A000011124,International undergraduate,Constant dollars,370,units,0,v1411954027,1.3,17363,,,,0
2006/2007,Canada,2016A000011124,International graduate,Constant dollars,370,units,0,v1411954028,1.4,14398,,,,0
2006/2007,Newfoundland and Labrador,2016A000210,Canadian undergraduate,Constant dollars,370,units,0,v1411954029,2.1,3417,,,,0
2006/2007,Newfoundland and Labrador,2016A000210,Canadian graduate,Constant dollars,370,units,0,v1411954030,2.2,2720,,,,0
2006/2007,Newfoundland and Labrador,2016A000210,International undergraduate,Constant dollars,370,units,0,v1411954031,2.3,13170,,,,0
2006/2007,Newfoundland and Labrador,2016A000210,International graduate,Constant dollars,370,units,0,v1411954032,2.4,3534,,,,0
2006/2007,Prince Edward Island,2016A000211,Canadian undergraduate,Constant dollars,370,units,0,v1411954033,3.1,6386,,,,0
2006/2007,Prince Edward Island,2016A000211,Canadian graduate,Constant dollars,370,units,0,v1411954034,3.2,3495,,,,0
2006/2007,Prince Edward Island,2016A000211,International undergraduate,Constant dollars,370,units,0,v1411954035,3.3,11642,,,,0
2006/2007,Prince Edward Island,2016A000211,International graduate,Constant dollars,370,units,0,v1411954036,3.4,7876,,,,0
2006/2007,Nova Scotia,2016A000212,Canadian undergraduate,Constant dollars,370,units,0,v1411954037,4.1,8335,,,,0
2006/2007,Nova Scotia,2016A000212,Canadian graduate,Constant dollars,370,units,0,v1411954038,4.2,10453,,,,0
2006/2007,Nova Scotia,2016A000212,International undergraduate,Constant dollars,370,units,0,v1411954039,4.3,16046,,,,0
2006/2007,Nova Scotia,2016A000212,International graduate,Constant dollars,370,units,0,v1411954040,4.4,18839,,,,0
2006/2007,New Brunswick,2016A000213,Canadian undergraduate,Constant dollars,370,units,0,v1411954041,5.1,7099,,,,0
2006/2007,New Brunswick,2016A000213,Canadian graduate,Constant dollars,370,units,0,v1411954042,5.2,6451,,,,0
2006/2007,New Brunswick,2016A000213,International undergraduate,Constant dollars,370,units,0,v1411954043,5.3,13797,,,,0
2006/2007,New Brunswick,2016A000213,International graduate,Constant dollars,370,units,0,v1411954044,5.4,11475,,,,0
2006/2007,Quebec,2016A000224,Canadian undergraduate,Constant dollars,370,units,0,v1411954045,6.1,2508,,,,0
2006/2007,Quebec,2016A000224,Canadian graduate,Constant dollars,370,units,0,v1411954046,6.2,2672,,,,0
2006/2007,Quebec,2016A000224,International undergraduate,Constant dollars,370,units,0,v1411954047,6.3,16003,,,,0
2006/2007,Quebec,2016A000224,International graduate,Constant dollars,370,units,0,v1411954048,6.4,13035,,,,0
2006/2007,Ontario,2016A000235,Canadian undergraduate,Constant dollars,370,units,0,v1411954049,7.1,6691,,,,0
2006/2007,Ontario,2016A000235,Canadian graduate,Constant dollars,370,units,0,v1411954050,7.2,11019,,,,0
2006/2007,Ontario,2016A000235,International undergraduate,Constant dollars,370,units,0,v1411954051,7.3,18873,,,,0
2006/2007,Ontario,2016A000235,International graduate,Constant dollars,370,units,0,v1411954052,7.4,19631,,,,0
2006/2007,Manitoba,2016A000246,Canadian undergraduate,Constant dollars,370,units,0,v1411954053,8.1,4308,,,,0
2006/2007,Manitoba,2016A000246,Canadian graduate,Constant dollars,370,units,0,v1411954054,8.2,6004,,,,0
2006/2007,Manitoba,2016A000246,International undergraduate,Constant dollars,370,units,0,v1411954055,8.3,11839,,,,0
2006/2007,Manitoba,2016A000246,International graduate,Constant dollars,370,units,0,v1411954056,8.4,11462,,,,0
2006/2007,Saskatchewan,2016A000247,Canadian undergraduate,Constant dollars,370,units,0,v1411954057,9.1,6196,,,,0
2006/2007,Saskatchewan,2016A000247,Canadian graduate,Constant dollars,370,units,0,v1411954058,9.2,3682,,,,0
2006/2007,Saskatchewan,2016A000247,International undergraduate,Constant dollars,370,units,0,v1411954059,9.3,13464,,,,0
2006/2007,Saskatchewan,2016A000247,International graduate,Constant dollars,370,units,0,v1411954060,9.4,3951,,,,0
2006/2007,Alberta,2016A000248,Canadian undergraduate,Constant dollars,370,units,0,v1411954061,10.1,6182,,,,0
2006/2007,Alberta,2016A000248,Canadian graduate,Constant dollars,370,units,0,v1411954062,10.2,7125,,,,0
2006/2007,Alberta,2016A000248,International undergraduate,Constant dollars,370,units,0,v1411954063,10.3,16376,,,,0
2006/2007,Alberta,2016A000248,International graduate,Constant dollars,370,units,0,v1411954064,10.4,12551,,,,0
