"TimeElapsed","time","territoryName","totalMandates","availableMandates","numParishes","numParishesApproved","blankVotes","blankVotesPercentage","nullVotes","nullVotesPercentage","votersPercentage","subscribedVoters","totalVoters","pre.blankVotes","pre.blankVotesPercentage","pre.nullVotes","pre.nullVotesPercentage","pre.votersPercentage","pre.subscribedVoters","pre.totalVoters","Party","Mandates","Percentage","validVotesPercentage","Votes","Hondt","FinalMandates"
0,2019-10-06 20:10:02,"Território Nacional",0,226,3092,1081,9652,2.5,8874,2.3,51.36,752529,386497,8317,1.94,8171,1.91,52.66,813743,428546,"PS",0,38.29,40.22,147993,94,106
0,2019-10-06 20:10:02,"Território Nacional",0,226,3092,1081,9652,2.5,8874,2.3,51.36,752529,386497,8317,1.94,8171,1.91,52.66,813743,428546,"PPD/PSD",0,33.28,34.95,128624,81,77
0,2019-10-06 20:10:02,"Território Nacional",0,226,3092,1081,9652,2.5,8874,2.3,51.36,752529,386497,8317,1.94,8171,1.91,52.66,813743,428546,"B.E.",0,6.81,7.15,26307,16,19
0,2019-10-06 20:10:02,"Território Nacional",0,226,3092,1081,9652,2.5,8874,2.3,51.36,752529,386497,8317,1.94,8171,1.91,52.66,813743,428546,"CDS-PP",0,4.9,5.14,18923,12,5
0,2019-10-06 20:10:02,"Território Nacional",0,226,3092,1081,9652,2.5,8874,2.3,51.36,752529,386497,8317,1.94,8171,1.91,52.66,813743,428546,"PCP-PEV",0,4.59,4.83,17757,11,12
0,2019-10-06 20:10:02,"Território Nacional",0,226,3092,1081,9652,2.5,8874,2.3,51.36,752529,386497,8317,1.94,8171,1.91,52.66,813743,428546,"PAN",0,1.76,1.84,6786,4,4
0,2019-10-06 20:10:02,"Território Nacional",0,226,3092,1081,9652,2.5,8874,2.3,51.36,752529,386497,8317,1.94,8171,1.91,52.66,813743,428546,"CH",0,0.95,0.99,3659,2,1
0,2019-10-06 20:10:02,"Território Nacional",0,226,3092,1081,9652,2.5,8874,2.3,51.36,752529,386497,8317,1.94,8171,1.91,52.66,813743,428546,"R.I.R.",0,0.88,0.93,3412,2,0
0,2019-10-06 20:10:02,"Território Nacional",0,226,3092,1081,9652,2.5,8874,2.3,51.36,752529,386497,8317,1.94,8171,1.91,52.66,813743,428546,"PCTP/MRPP",0,0.66,0.7,2567,1,0
0,2019-10-06 20:10:02,"Território Nacional",0,226,3092,1081,9652,2.5,8874,2.3,51.36,752529,386497,8317,1.94,8171,1.91,52.66,813743,428546,"A",0,0.48,0.51,1870,1,0
0,2019-10-06 20:10:02,"Território Nacional",0,226,3092,1081,9652,2.5,8874,2.3,51.36,752529,386497,8317,1.94,8171,1.91,52.66,813743,428546,"L",0,0.48,0.51,1872,1,1
0,2019-10-06 20:10:02,"Território Nacional",0,226,3092,1081,9652,2.5,8874,2.3,51.36,752529,386497,8317,1.94,8171,1.91,52.66,813743,428546,"IL",0,0.44,0.47,1715,1,1
0,2019-10-06 20:10:02,"Território Nacional",0,226,3092,1081,9652,2.5,8874,2.3,51.36,752529,386497,8317,1.94,8171,1.91,52.66,813743,428546,"JPP",0,0.32,0.34,1236,0,0
0,2019-10-06 20:10:02,"Território Nacional",0,226,3092,1081,9652,2.5,8874,2.3,51.36,752529,386497,8317,1.94,8171,1.91,52.66,813743,428546,"NC",0,0.21,0.22,794,0,0
0,2019-10-06 20:10:02,"Território Nacional",0,226,3092,1081,9652,2.5,8874,2.3,51.36,752529,386497,8317,1.94,8171,1.91,52.66,813743,428546,"PDR",0,0.21,0.22,795,0,0
0,2019-10-06 20:10:02,"Território Nacional",0,226,3092,1081,9652,2.5,8874,2.3,51.36,752529,386497,8317,1.94,8171,1.91,52.66,813743,428546,"PNR",0,0.21,0.22,803,0,0
0,2019-10-06 20:10:02,"Território Nacional",0,226,3092,1081,9652,2.5,8874,2.3,51.36,752529,386497,8317,1.94,8171,1.91,52.66,813743,428546,"PURP",0,0.19,0.2,740,0,0
0,2019-10-06 20:10:02,"Território Nacional",0,226,3092,1081,9652,2.5,8874,2.3,51.36,752529,386497,8317,1.94,8171,1.91,52.66,813743,428546,"PPM",0,0.18,0.19,706,0,0
0,2019-10-06 20:10:02,"Território Nacional",0,226,3092,1081,9652,2.5,8874,2.3,51.36,752529,386497,8317,1.94,8171,1.91,52.66,813743,428546,"MPT",0,0.17,0.17,642,0,0
0,2019-10-06 20:10:02,"Território Nacional",0,226,3092,1081,9652,2.5,8874,2.3,51.36,752529,386497,8317,1.94,8171,1.91,52.66,813743,428546,"PTP",0,0.17,0.18,674,0,0
0,2019-10-06 20:10:02,"Território Nacional",0,226,3092,1081,9652,2.5,8874,2.3,51.36,752529,386497,8317,1.94,8171,1.91,52.66,813743,428546,"MAS",0,0.02,0.03,96,0,0
0,2019-10-06 20:10:02,"Aveiro",0,16,147,12,186,2.92,101,1.59,53.3,11953,6371,124,1.82,111,1.63,54.56,12511,6826,"PPD/PSD",0,37.75,39.53,2405,7,6
0,2019-10-06 20:10:02,"Aveiro",0,16,147,12,186,2.92,101,1.59,53.3,11953,6371,124,1.82,111,1.63,54.56,12511,6826,"PS",0,34.33,35.95,2187,7,7
0,2019-10-06 20:10:02,"Aveiro",0,16,147,12,186,2.92,101,1.59,53.3,11953,6371,124,1.82,111,1.63,54.56,12511,6826,"B.E.",0,7.47,7.82,476,1,2
0,2019-10-06 20:10:02,"Aveiro",0,16,147,12,186,2.92,101,1.59,53.3,11953,6371,124,1.82,111,1.63,54.56,12511,6826,"CDS-PP",0,6.14,6.43,391,1,1
0,2019-10-06 20:10:02,"Aveiro",0,16,147,12,186,2.92,101,1.59,53.3,11953,6371,124,1.82,111,1.63,54.56,12511,6826,"PCP-PEV",0,2.39,2.5,152,0,0
