TimeElapsed,time,territoryName,totalMandates,FinalMandates
0,06-10-2019 20:10,Território Nacional,0,106
0,06-10-2019 20:10,Território Nacional,0,77
0,06-10-2019 20:10,Território Nacional,0,19
0,06-10-2019 20:10,Território Nacional,0,5
0,06-10-2019 20:10,Território Nacional,0,12
0,06-10-2019 20:10,Território Nacional,0,4
0,06-10-2019 20:10,Território Nacional,0,1
0,06-10-2019 20:10,Território Nacional,0,0
0,06-10-2019 20:10,Território Nacional,0,0
0,06-10-2019 20:10,Território Nacional,0,0
0,06-10-2019 20:10,Território Nacional,0,1
0,06-10-2019 20:10,Território Nacional,0,1
0,06-10-2019 20:10,Território Nacional,0,0
0,06-10-2019 20:10,Território Nacional,0,0
0,06-10-2019 20:10,Território Nacional,0,0
0,06-10-2019 20:10,Território Nacional,0,0
0,06-10-2019 20:10,Território Nacional,0,0
0,06-10-2019 20:10,Território Nacional,0,0
0,06-10-2019 20:10,Território Nacional,0,0
0,06-10-2019 20:10,Território Nacional,0,0
0,06-10-2019 20:10,Território Nacional,0,0
0,06-10-2019 20:10,Aveiro,0,6
0,06-10-2019 20:10,Aveiro,0,7
0,06-10-2019 20:10,Aveiro,0,2
0,06-10-2019 20:10,Aveiro,0,1
0,06-10-2019 20:10,Aveiro,0,0
0,06-10-2019 20:10,Aveiro,0,0
0,06-10-2019 20:10,Aveiro,0,0
0,06-10-2019 20:10,Aveiro,0,0
0,06-10-2019 20:10,Aveiro,0,0
0,06-10-2019 20:10,Aveiro,0,0
0,06-10-2019 20:10,Aveiro,0,0
0,06-10-2019 20:10,Aveiro,0,0
0,06-10-2019 20:10,Aveiro,0,0
0,06-10-2019 20:10,Aveiro,0,0
0,06-10-2019 20:10,Aveiro,0,0
0,06-10-2019 20:10,Aveiro,0,0
0,06-10-2019 20:10,Aveiro,0,0
0,06-10-2019 20:10,Aveiro,0,0
0,06-10-2019 20:10,Aveiro,0,0
0,06-10-2019 20:10,Aveiro,0,0
0,06-10-2019 20:10,Beja,0,2
0,06-10-2019 20:10,Beja,0,1
0,06-10-2019 20:10,Beja,0,0
0,06-10-2019 20:10,Beja,0,0
0,06-10-2019 20:10,Beja,0,0
0,06-10-2019 20:10,Beja,0,0
0,06-10-2019 20:10,Beja,0,0
0,06-10-2019 20:10,Beja,0,0
0,06-10-2019 20:10,Beja,0,0
0,06-10-2019 20:10,Beja,0,0
0,06-10-2019 20:10,Beja,0,0
0,06-10-2019 20:10,Beja,0,0
0,06-10-2019 20:10,Beja,0,0
0,06-10-2019 20:10,Beja,0,0
0,06-10-2019 20:10,Beja,0,0
0,06-10-2019 20:10,Beja,0,0
0,06-10-2019 20:10,Beja,0,0
0,06-10-2019 20:10,Braga,0,8
0,06-10-2019 20:10,Braga,0,8
0,06-10-2019 20:10,Braga,0,2
0,06-10-2019 20:10,Braga,0,1
0,06-10-2019 20:10,Braga,0,0
0,06-10-2019 20:10,Braga,0,0
0,06-10-2019 20:10,Braga,0,0
0,06-10-2019 20:10,Braga,0,0
0,06-10-2019 20:10,Braga,0,0
0,06-10-2019 20:10,Braga,0,0
0,06-10-2019 20:10,Braga,0,0
0,06-10-2019 20:10,Braga,0,0
0,06-10-2019 20:10,Braga,0,0
0,06-10-2019 20:10,Braga,0,0
0,06-10-2019 20:10,Braga,0,0
0,06-10-2019 20:10,Braga,0,0
0,06-10-2019 20:10,Braga,0,0
0,06-10-2019 20:10,Braga,0,0
0,06-10-2019 20:10,Braga,0,0
0,06-10-2019 20:10,Braga,0,0
0,06-10-2019 20:10,Braga,0,0
0,06-10-2019 20:10,Bragança,0,2
0,06-10-2019 20:10,Bragança,0,1
0,06-10-2019 20:10,Bragança,0,0
0,06-10-2019 20:10,Bragança,0,0
0,06-10-2019 20:10,Bragança,0,0
0,06-10-2019 20:10,Bragança,0,0
0,06-10-2019 20:10,Bragança,0,0
0,06-10-2019 20:10,Bragança,0,0
0,06-10-2019 20:10,Bragança,0,0
0,06-10-2019 20:10,Bragança,0,0
0,06-10-2019 20:10,Bragança,0,0
0,06-10-2019 20:10,Bragança,0,0
0,06-10-2019 20:10,Bragança,0,0
0,06-10-2019 20:10,Bragança,0,0
0,06-10-2019 20:10,Bragança,0,0
0,06-10-2019 20:10,Bragança,0,0
0,06-10-2019 20:10,Bragança,0,0
0,06-10-2019 20:10,Bragança,0,0
0,06-10-2019 20:10,Castelo Branco,0,3
0,06-10-2019 20:10,Castelo Branco,0,1
0,06-10-2019 20:10,Castelo Branco,0,0
0,06-10-2019 20:10,Castelo Branco,0,0
0,06-10-2019 20:10,Castelo Branco,0,0
0,06-10-2019 20:10,Castelo Branco,0,0
0,06-10-2019 20:10,Castelo Branco,0,0
0,06-10-2019 20:10,Castelo Branco,0,0
0,06-10-2019 20:10,Castelo Branco,0,0
0,06-10-2019 20:10,Castelo Branco,0,0
0,06-10-2019 20:10,Castelo Branco,0,0
0,06-10-2019 20:10,Castelo Branco,0,0
0,06-10-2019 20:10,Castelo Branco,0,0
0,06-10-2019 20:10,Castelo Branco,0,0
0,06-10-2019 20:10,Castelo Branco,0,0
0,06-10-2019 20:10,Castelo Branco,0,0
0,06-10-2019 20:10,Castelo Branco,0,0
0,06-10-2019 20:10,Castelo Branco,0,0
0,06-10-2019 20:10,Coimbra,0,5
